# time, vmax, integral, width, baseline, dt
61.020161,168.100006,6630.442871,53.667328,1.900000,0.013069
61.248428,174.257141,6975.632812,56.061340,1.742857,0.228268
61.304272,133.571426,2563.820557,25.428574,2.428571,0.055843
61.396152,175.771423,6917.115723,55.295242,2.228571,0.091881
61.812614,155.285721,3114.931152,26.155350,2.714286,0.416462
61.950211,175.628571,6548.974121,51.344292,1.371429,0.137596
62.088768,170.985718,6283.856445,49.039810,2.014286,0.138557
62.120361,163.914291,5696.247070,44.520355,2.085714,0.031593
62.259060,171.028564,6660.169434,53.427139,1.971429,0.138699
62.650276,101.714287,2007.860596,24.359993,2.285714,0.391216
62.704090,165.371429,6495.820312,53.479004,2.628572,0.053814
62.856422,167.242859,6870.814941,57.184013,1.757143,0.152332
63.343239,168.471436,6416.397949,52.809570,2.528571,0.486816
63.410988,165.042862,5641.559082,43.479111,2.957143,0.067749
63.422081,166.042862,6955.403320,59.334991,1.957143,0.011093
63.734707,169.500000,6529.486816,52.639275,2.500000,0.312626
63.805107,171.642853,6483.098633,52.226196,2.357143,0.070400
63.832764,173.600006,6743.954590,54.980957,2.400000,0.027657
63.859116,168.242859,7017.679688,57.736427,1.757143,0.026352
63.862331,166.585709,3472.210205,28.244820,2.414286,0.003216
64.007088,173.600006,7018.514648,57.682854,1.400000,0.144756
64.032120,170.728577,5768.505371,44.660675,2.271429,0.025032
64.162277,171.571426,6399.456543,52.430466,3.428571,0.130157
64.223152,168.185715,6548.031738,53.548248,1.814286,0.060875
64.242455,167.642853,6466.943848,53.075005,2.357143,0.019302
64.270302,136.285721,2557.918701,23.560005,2.714286,0.027847
64.345123,149.699997,3001.542725,25.378571,1.300000,0.074821
64.456612,170.471436,6853.118164,56.678665,2.528571,0.111488
64.843315,168.442856,6570.482422,52.883331,2.557143,0.386703
65.013489,170.600006,6519.372070,52.487999,2.400000,0.170174
65.079330,145.928574,2917.751953,25.536530,2.071429,0.065842
65.159752,176.899994,6456.070801,50.864281,3.100000,0.080421
65.200241,174.000000,7014.320801,56.314293,2.000000,0.040489
65.381256,174.628571,6365.265137,50.694283,2.371428,0.181015
65.442291,161.157150,3254.428223,27.482658,2.842857,0.061035
65.467422,167.742859,6810.726562,57.219048,2.257143,0.025131
65.895050,167.914291,6954.251953,57.378502,2.085714,0.427628
66.030731,172.300003,6824.363770,57.051285,1.700000,0.135681
66.094543,173.300003,6475.938477,52.760185,2.700000,0.063812
66.169914,170.814285,6402.572266,52.397614,2.185714,0.075371
66.256531,176.314285,6539.884277,51.947144,2.685714,0.086617
66.366966,172.914291,6597.838867,52.341003,2.085714,0.110435
66.546089,166.942856,7005.375488,58.434006,2.057143,0.179123
66.733078,158.271423,3126.026367,26.200142,2.728571,0.186989
66.776794,170.557144,6486.070801,52.283333,2.442857,0.043716
66.937996,170.885712,6575.543945,53.578003,2.114286,0.161201
66.943077,168.685715,5608.789062,44.159996,2.314286,0.005081
67.016487,173.871429,6993.078125,56.455002,2.128572,0.073410
67.075058,170.757141,6509.537109,52.221436,2.242857,0.058571
67.121529,171.585709,6595.222168,53.523567,2.414286,0.046471
67.200089,170.057144,6093.909668,48.507858,1.942857,0.078560
67.454872,171.985718,6833.341797,57.103996,2.014286,0.254784
67.524834,162.899994,5549.414551,43.720718,2.100000,0.069962
67.563332,172.899994,6743.132324,55.194382,2.100000,0.038498
67.611458,169.757141,6900.444336,57.392143,2.242857,0.048126
68.000000,169.985718,6689.784180,54.831497,2.014286,0.388542
68.054504,136.114288,2691.447266,25.515717,2.885714,0.054504
68.396988,166.814285,6134.911621,49.307861,2.185714,0.342484
68.453972,165.228577,3619.500000,28.604996,1.771429,0.056984
68.463242,167.757141,6925.518066,56.982422,2.242857,0.009270
68.746338,149.814285,3019.168457,26.257133,2.185714,0.283096
68.782791,174.057144,7058.148926,56.485992,1.942857,0.036453
68.787521,138.899994,2744.339600,24.909164,2.100000,0.004730
68.834122,141.171432,2733.732422,25.323074,1.828571,0.046600
68.915863,150.514282,2958.689453,26.423340,2.485714,0.081741
68.951653,167.885712,6898.777832,57.013718,3.114286,0.035789
69.288147,169.857147,6819.286621,56.407135,2.142857,0.336494
69.891151,170.828568,6889.917480,56.409996,2.171429,0.603004
69.899765,168.457138,6616.086914,54.171432,2.542857,0.008614
70.427086,171.485718,6788.580078,55.771423,2.514286,0.527321
70.504608,174.228577,6679.098633,53.634293,1.771429,0.077522
70.769875,164.071426,6614.595703,54.482857,1.928571,0.265266
70.790085,145.757141,2763.741699,24.796768,2.242857,0.020210
70.803329,164.699997,6972.073242,58.384575,2.300000,0.013245
70.945740,167.199997,5554.057129,42.961914,2.800000,0.142410
